:LABEL,valid_until,country_codes,countries,node_id:ID,sourceID,name,jurisdiction_description,service_provider,jurisdiction,closed_date,incorporation_date,ibcRUC,type,status,company_type,note
Intermediary,Appleby data is current through 2014,,,80037294,Paradise Papers - Appleby,The Bank of New York,,,,,,,,,,
Intermediary,Appleby data is current through 2014,BMU,Bermuda,80037526,Paradise Papers - Appleby,Apex Fund Services Ltd.,,,,,,,,,,
Intermediary,Appleby data is current through 2014,,,80037723,Paradise Papers - Appleby,Tricor Investor Services Sdn Bhd,,,,,,,,,,
Intermediary,Appleby data is current through 2014,,,80037724,Paradise Papers - Appleby,Tricor Investor Services Limited,,,,,,,,,,
Intermediary,Appleby data is current through 2014,BMU,Bermuda,80037797,Paradise Papers - Appleby,Prime Management Limited,,,,,,,,,,
Intermediary,Appleby data is current through 2014,HKG,Hong Kong,80037818,Paradise Papers - Appleby,Union Registrars Limited,,,,,,,,,,
Intermediary,Appleby data is current through 2014,NZL,New Zealand,80038349,Paradise Papers - Appleby,Computershare Investor Services Ltd,,,,,,,,,,
Intermediary,Appleby data is current through 2014,,,80038860,Paradise Papers - Appleby,Capita Registrars Plc,,,,,,,,,,
Intermediary,Appleby data is current through 2014,IRL,Ireland,80038978,Paradise Papers - Appleby,Morgan Stanley Fund Services (Bermuda) Ltd.,,,,,,,,,,
Intermediary,Appleby data is current through 2014,VGB,British Virgin Islands,80039148,Paradise Papers - Appleby,HWR Services Limited,,,,,,,,,,
Intermediary,Appleby data is current through 2014,IRL,Ireland,80039370,Paradise Papers - Appleby,International Fund Services (Ireland) Limited,,,,,,,,,,
Intermediary,Appleby data is current through 2014,,,80039428,Paradise Papers - Appleby,Citi Hedge Fund Services (Ireland) Limited,,,,,,,,,,
Intermediary,Appleby data is current through 2014,BMU,Bermuda,80039478,Paradise Papers - Appleby,MUFG Fund Services (Bermuda) Limited,,,,,,,,,,
Intermediary,Appleby data is current through 2014,,,80039533,Paradise Papers - Appleby,Equity Trust (BVI) Limited,,,,,,,,,,
Intermediary,Appleby data is current through 2014,SGP,Singapore,80039842,Paradise Papers - Appleby,Boardroom Corporate & Advisory Services Pte. Ltd.,,,,,,,,,,
Intermediary,Appleby data is current through 2014,GGY,Guernsey,80043197,Paradise Papers - Appleby,Butterfield Management Services (Guernsey) Limited,,,,,,,,,,
Intermediary,Appleby data is current through 2014,GGY,Guernsey,80043198,Paradise Papers - Appleby,Butterfield Trust (Guernsey) Limited,,,,,,,,,,
Intermediary,Appleby data is current through 2014,IRL,Ireland,80043308,Paradise Papers - Appleby,BNY Mellon Investment Servicing (International) Limited,,,,,,,,,,
Intermediary,Appleby data is current through 2014,,,80043359,Paradise Papers - Appleby,Corporate & Chancery Group Ltd,,,,,,,,,,
Intermediary,Appleby data is current through 2014,IMN,Isle of Man,80043713,Paradise Papers - Appleby,Cains Fiduciaries Limited,,,,,,,,,,
Intermediary,Appleby data is current through 2014,,,80044441,Paradise Papers - Appleby,Capita Asset Services,,,,,,,,,,
Intermediary,Appleby data is current through 2014,GBR,United Kingdom,80044445,Paradise Papers - Appleby,Capita Registrars (Jersey) Limited,,,,,,,,,,
Intermediary,Appleby data is current through 2014,IMN,Isle of Man,80044497,Paradise Papers - Appleby,Capita Registrars,,,,,,,,,,
Intermediary,Appleby data is current through 2014,,,80045657,Paradise Papers - Appleby,CCW Trust Limited,,,,,,,,,,
Intermediary,Appleby data is current through 2014,,,80045803,Paradise Papers - Appleby,Central Registration Hong Kong Limited,,,,,,,,,,
Intermediary,Appleby data is current through 2014,HKG,Hong Kong,80045804,Paradise Papers - Appleby,Computershare Hong Kong Investor Services Limited,,,,,,,,,,
